               Y_n               Y_p             Y_he4             Y_c12            Y_ne20            Y_na23            Y_mg23             E_nuc              Time
     2.65438987151758E-10     4.75108616816643E-08     5.87745493025362E-08     8.33327868983001E-02     5.87745493025362E-08     4.75108604621036E-08     2.65440206712439E-10     3.64084178602732E+11     8.10000000000000E-03
     2.68715987959148E-10     4.80974140263738E-08     5.95001591438773E-08     8.33327842674217E-02     5.95001591438773E-08     4.80974127765150E-08     2.68717237817973E-10     3.68579033357546E+11     8.20000000000000E-03
     2.71992988187866E-10     4.86839663344194E-08     6.02257689394025E-08     8.33327816365435E-02     6.02257689394025E-08     4.86839650538907E-08     2.71994268716591E-10     3.73073887828267E+11     8.30000000000000E-03
     2.75269987837911E-10     4.92705186058011E-08     6.09513786891117E-08     8.33327790056654E-02     6.09513786891117E-08     4.92705172942307E-08     2.75271299408293E-10     3.77568742014898E+11     8.40000000000000E-03
     2.78546986909283E-10     4.98570708405188E-08     6.16769883930050E-08     8.33327763747876E-02     6.16769883930050E-08     4.98570694975350E-08     2.78548329893080E-10     3.82063595917436E+11     8.50000000000000E-03
     2.81823985401984E-10     5.04436230385726E-08     6.24025980510823E-08     8.33327737439099E-02     6.24025980510823E-08     5.04436216638037E-08     2.81825360170950E-10     3.86558449535883E+11     8.60000000000000E-03
     2.85100983316012E-10     5.10301751999625E-08     6.31282076633436E-08     8.33327711130323E-02     6.31282076633436E-08     5.10301737930366E-08     2.85102390241904E-10     3.91053302870238E+11     8.70000000000000E-03
     2.88377980651367E-10     5.16167273246885E-08     6.38538172297890E-08     8.33327684821549E-02     6.38538172297890E-08     5.16167258852339E-08     2.88379420105942E-10     3.95548155920502E+11     8.80000000000000E-03
     2.91654977408050E-10     5.22032794127505E-08     6.45794267504185E-08     8.33327658512777E-02     6.45794267504185E-08     5.22032779403955E-08     2.91656449763064E-10     4.00043008686674E+11     8.90000000000000E-03
     2.94931973586061E-10     5.27898314641487E-08     6.53050362252320E-08     8.33327632204007E-02     6.53050362252320E-08     5.27898299585214E-08     2.94933479213270E-10     4.04537861168755E+11     9.00000000000000E-03
     2.98208969185399E-10     5.33763834788828E-08     6.60306456542295E-08     8.33327605895238E-02     6.60306456542295E-08     5.33763819396117E-08     2.98210508456560E-10     4.09032713366743E+11     9.10000000000000E-03
     3.01485964206065E-10     5.39629354569531E-08     6.67562550374111E-08     8.33327579586471E-02     6.67562550374111E-08     5.39629338836662E-08     3.01487537492934E-10     4.13527565280640E+11     9.20000000000000E-03
     3.04762958648059E-10     5.45494873983595E-08     6.74818643747767E-08     8.33327553277705E-02     6.74818643747767E-08     5.45494857906851E-08     3.04764566322392E-10     4.18022416910446E+11     9.30000000000000E-03
     3.08039952511380E-10     5.51360393031019E-08     6.82074736663264E-08     8.33327526968942E-02     6.82074736663264E-08     5.51360376606683E-08     3.08041594944934E-10     4.22517268256160E+11     9.40000000000000E-03
     3.11316945796028E-10     5.57225911711804E-08     6.89330829120601E-08     8.33327500660180E-02     6.89330829120601E-08     5.57225894936159E-08     3.11318623360560E-10     4.27012119317782E+11     9.50000000000000E-03
     3.14593938502005E-10     5.63091430025950E-08     6.96586921119779E-08     8.33327474351419E-02     6.96586921119779E-08     5.63091412895277E-08     3.14595651569270E-10     4.31506970095313E+11     9.60000000000000E-03
     3.17870930629309E-10     5.68956947973456E-08     7.03843012660797E-08     8.33327448042660E-02     7.03843012660797E-08     5.68956930484039E-08     3.17872679571064E-10     4.36001820588752E+11     9.70000000000000E-03
     3.21147922177940E-10     5.74822465554323E-08     7.11099103743656E-08     8.33327421733903E-02     7.11099103743656E-08     5.74822447702443E-08     3.21149707365941E-10     4.40496670798099E+11     9.80000000000000E-03
     3.24424913147899E-10     5.80687982768552E-08     7.18355194368355E-08     8.33327395425148E-02     7.18355194368355E-08     5.80687964550491E-08     3.24426734953903E-10     4.44991520723355E+11     9.90000000000000E-03
