!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.06              8.45             -1.08724e-07  3.20756e-08  4.06376e-06   3.40820e-01      1.33595e-05      3.90329e-06
8.06              8.50             -1.08147e-07  3.20756e-08  4.06344e-06   3.43940e-01      1.34865e-05      3.88035e-06
8.06              8.55             -1.07538e-07  3.20756e-08  4.06296e-06   3.47430e-01      1.36295e-05      3.85470e-06
8.06              8.60             -1.06881e-07  3.20756e-08  4.06248e-06   3.51200e-01      1.37854e-05      3.82675e-06
8.06              8.65             -1.06192e-07  3.20756e-08  4.06184e-06   3.55140e-01      1.39502e-05      3.79726e-06
8.06              8.70             -1.05455e-07  3.20756e-08  4.06104e-06   3.59160e-01      1.41199e-05      3.76687e-06
8.06              8.75             -1.04654e-07  3.20756e-08  4.06008e-06   3.63180e-01      1.42906e-05      3.73637e-06
8.06              8.80             -1.03821e-07  3.20756e-08  4.05863e-06   3.67110e-01      1.44601e-05      3.70621e-06
8.06              8.85             -1.02940e-07  3.20756e-08  4.05719e-06   3.70880e-01      1.46238e-05      3.67689e-06
8.06              8.90             -1.01995e-07  3.20756e-08  4.05511e-06   3.74470e-01      1.47816e-05      3.64880e-06
8.06              8.95             -1.01001e-07  3.20756e-08  4.05255e-06   3.77840e-01      1.49311e-05      3.62227e-06
8.06              9.00             -9.99438e-08  3.20756e-08  4.04934e-06   3.80980e-01      1.50720e-05      3.59741e-06
8.06              9.05             -9.88383e-08  3.20756e-08  4.04534e-06   3.83870e-01      1.52037e-05      3.57454e-06
8.06              9.10             -9.76687e-08  3.20756e-08  4.04021e-06   3.86540e-01      1.53264e-05      3.55353e-06
8.06              9.15             -9.64190e-08  3.20756e-08  4.03380e-06   3.88980e-01      1.54408e-05      3.53468e-06
8.06              9.20             -9.51212e-08  3.20756e-08  4.02563e-06   3.91220e-01      1.55479e-05      3.51787e-06
8.06              9.25             -9.37594e-08  3.20756e-08  4.01554e-06   3.93280e-01      1.56484e-05      3.50324e-06
8.06              9.30             -9.23334e-08  3.20756e-08  4.00272e-06   3.95190e-01      1.57438e-05      3.49084e-06
8.06              9.35             -9.08274e-08  3.20756e-08  3.98670e-06   3.96980e-01      1.58365e-05      3.48081e-06
8.06              9.40             -8.92573e-08  3.20756e-08  3.96635e-06   3.98710e-01      1.59287e-05      3.47320e-06
8.06              9.45             -8.76230e-08  3.20756e-08  3.94087e-06   4.00420e-01      1.60255e-05      3.46817e-06
8.06              9.50             -8.59247e-08  3.20756e-08  3.90867e-06   4.02210e-01      1.61254e-05      3.46617e-06
8.06              9.55             -8.41623e-08  3.20756e-08  3.86814e-06   4.04170e-01      1.62447e-05      3.46729e-06
8.06              9.60             -8.23359e-08  3.20756e-08  3.81719e-06   4.06440e-01      1.63799e-05      3.47201e-06
8.06              9.65             -8.04293e-08  3.20756e-08  3.75326e-06   4.09150e-01      1.65505e-05      3.48073e-06
8.08              7.00             -1.17375e-07  3.25562e-08  4.12577e-06   3.29120e-01      1.28736e-05      3.96233e-06
8.08              7.20             -1.17055e-07  3.25562e-08  4.12560e-06   3.29020e-01      1.28695e-05      3.96123e-06
8.08              7.40             -1.16638e-07  3.25562e-08  4.12544e-06   3.28800e-01      1.28606e-05      3.95895e-06
8.08              7.60             -1.16062e-07  3.25562e-08  4.12528e-06   3.28500e-01      1.28478e-05      3.95567e-06
8.08              7.80             -1.15277e-07  3.25562e-08  4.12512e-06   3.28190e-01      1.28354e-05      3.95240e-06
8.08              8.00             -1.14235e-07  3.25562e-08  4.12512e-06   3.28010e-01      1.28286e-05      3.94885e-06
8.08              8.05             -1.13931e-07  3.25562e-08  4.12512e-06   3.28070e-01      1.28310e-05      3.94739e-06
8.08              8.10             -1.13594e-07  3.25562e-08  4.12512e-06   3.28240e-01      1.28378e-05      3.94521e-06
8.08              8.15             -1.13242e-07  3.25562e-08  4.12496e-06   3.28570e-01      1.28511e-05      3.94185e-06
8.08              8.20             -1.12841e-07  3.25562e-08  4.12496e-06   3.29150e-01      1.28739e-05      3.93686e-06
8.08              8.25             -1.12441e-07  3.25562e-08  4.12480e-06   3.30040e-01      1.29092e-05      3.92971e-06
8.08              8.30             -1.11992e-07  3.25562e-08  4.12464e-06   3.31330e-01      1.29602e-05      3.91995e-06
8.08              8.35             -1.11528e-07  3.25562e-08  4.12464e-06   3.33060e-01      1.30293e-05      3.90697e-06
8.08              8.40             -1.11015e-07  3.25562e-08  4.12432e-06   3.35280e-01      1.31175e-05      3.89072e-06
8.08              8.45             -1.10486e-07  3.25562e-08  4.12416e-06   3.37970e-01      1.32251e-05      3.87106e-06
8.08              8.50             -1.09909e-07  3.25562e-08  4.12384e-06   3.41100e-01      1.33515e-05      3.84831e-06
8.08              8.55             -1.09284e-07  3.25562e-08  4.12336e-06   3.44600e-01      1.34940e-05      3.82270e-06
8.08              8.60             -1.08628e-07  3.25562e-08  4.12288e-06   3.48380e-01      1.36490e-05      3.79499e-06
8.08              8.65             -1.07923e-07  3.25562e-08  4.12224e-06   3.52340e-01      1.38128e-05      3.76565e-06
8.08              8.70             -1.07186e-07  3.25562e-08  4.12144e-06   3.56380e-01      1.39814e-05      3.73543e-06
8.08              8.75             -1.06385e-07  3.25562e-08  4.12048e-06   3.60400e-01      1.41514e-05      3.70510e-06
8.08              8.80             -1.05551e-07  3.25562e-08  4.11920e-06   3.64350e-01      1.43196e-05      3.67503e-06
8.08              8.85             -1.04654e-07  3.25562e-08  4.11759e-06   3.68130e-01      1.44827e-05      3.64595e-06
8.08              8.90             -1.03709e-07  3.25562e-08  4.11567e-06   3.71740e-01      1.46396e-05      3.61802e-06
8.08              8.95             -1.02700e-07  3.25562e-08  4.11311e-06   3.75110e-01      1.47884e-05      3.59162e-06
8.08              9.00             -1.01642e-07  3.25562e-08  4.10990e-06   3.78260e-01      1.49286e-05      3.56690e-06
8.08              9.05             -1.00521e-07  3.25562e-08  4.10590e-06   3.81170e-01      1.50598e-05      3.54414e-06
8.08              9.10             -9.93350e-08  3.25562e-08  4.10093e-06   3.83840e-01      1.51820e-05      3.52339e-06
8.08              9.15             -9.80853e-08  3.25562e-08  4.09468e-06   3.86300e-01      1.52957e-05      3.50462e-06
8.08              9.20             -9.67715e-08  3.25562e-08  4.08667e-06   3.88550e-01      1.54025e-05      3.48795e-06
8.08              9.25             -9.53936e-08  3.25562e-08  4.07658e-06   3.90620e-01      1.55028e-05      3.47344e-06
8.08              9.30             -9.39516e-08  3.25562e-08  4.06408e-06   3.92540e-01      1.55981e-05      3.46115e-06
8.08              9.35             -9.24456e-08  3.25562e-08  4.04822e-06   3.94340e-01      1.56906e-05      3.45120e-06
8.08              9.40             -9.08594e-08  3.25562e-08  4.02819e-06   3.96080e-01      1.57830e-05      3.44374e-06
8.08              9.45             -8.92092e-08  3.25562e-08  4.00304e-06   3.97810e-01      1.58785e-05      3.43899e-06
8.08              9.50             -8.74949e-08  3.25562e-08  3.97148e-06   3.99620e-01      1.59820e-05      3.43709e-06
8.08              9.55             -8.57004e-08  3.25562e-08  3.93158e-06   4.01600e-01      1.60994e-05      3.43851e-06
8.08              9.60             -8.38579e-08  3.25562e-08  3.88143e-06   4.03900e-01      1.62372e-05      3.44350e-06
8.08              9.65             -8.19353e-08  3.25562e-08  3.81847e-06   4.06650e-01      1.64063e-05      3.45255e-06
