!28P (3+, 2+, 3+, 0+, 1+, 1+, 2+) -> 28Si,  e-capture,  with screening effects
!USDB    GT+F                Q=14.3437 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
8.08              7.40              4.11727e-06  1.36554e-07  4.07113e-08   5.96840e-01      4.80408e-05      5.17500e-05
8.08              7.60              4.11711e-06  1.36041e-07  4.07113e-08   5.97150e-01      4.80851e-05      5.17858e-05
8.08              7.80              4.11711e-06  1.35336e-07  4.07113e-08   5.97820e-01      4.81627e-05      5.18693e-05
8.08              8.00              4.11711e-06  1.34375e-07  4.07113e-08   5.98560e-01      4.82515e-05      5.19530e-05
8.08              8.05              4.11695e-06  1.34086e-07  4.07113e-08   5.98680e-01      4.82626e-05      5.19649e-05
8.08              8.10              4.11695e-06  1.33782e-07  4.07113e-08   5.98800e-01      4.82848e-05      5.19889e-05
8.08              8.15              4.11695e-06  1.33461e-07  4.07113e-08   5.98870e-01      4.82959e-05      5.19889e-05
8.08              8.20              4.11679e-06  1.33109e-07  4.07113e-08   5.98930e-01      4.82959e-05      5.20008e-05
8.08              8.25              4.11679e-06  1.32724e-07  4.07113e-08   5.98950e-01      4.83070e-05      5.20128e-05
8.08              8.30              4.11663e-06  1.32308e-07  4.07113e-08   5.98920e-01      4.82959e-05      5.20128e-05
8.08              8.35              4.11647e-06  1.31875e-07  4.07113e-08   5.98860e-01      4.82848e-05      5.20128e-05
8.08              8.40              4.11615e-06  1.31411e-07  4.07113e-08   5.98650e-01      4.82515e-05      5.20008e-05
8.08              8.45              4.11599e-06  1.30898e-07  4.07113e-08   5.98350e-01      4.82070e-05      5.19769e-05
8.08              8.50              4.11567e-06  1.30369e-07  4.07113e-08   5.97870e-01      4.81294e-05      5.19530e-05
8.08              8.55              4.11519e-06  1.29792e-07  4.07113e-08   5.97190e-01      4.80298e-05      5.19171e-05
8.08              8.60              4.11471e-06  1.29167e-07  4.07113e-08   5.96310e-01      4.78862e-05      5.18574e-05
8.08              8.65              4.11407e-06  1.28511e-07  4.07113e-08   5.95180e-01      4.77101e-05      5.17977e-05
8.08              8.70              4.11343e-06  1.27806e-07  4.07113e-08   5.93880e-01      4.75018e-05      5.17143e-05
8.08              8.75              4.11231e-06  1.27069e-07  4.07113e-08   5.92340e-01      4.72727e-05      5.16191e-05
8.08              8.80              4.11103e-06  1.26268e-07  4.07113e-08   5.90680e-01      4.70122e-05      5.15241e-05
8.08              8.85              4.10958e-06  1.25418e-07  4.07113e-08   5.88940e-01      4.67423e-05      5.14293e-05
