!18Ne (0+, 2+) -> 18F    e-capture   with screening effects
!USDB ,   GT+Fermi,   Q (18Ne-18F) = 4.4445 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.096478e+08 2.511886e+09 3.910601e-06 7.312350e-08 2.633984e-08 4.490555e+00 4.099315e-05 2.207605e-06
1.096478e+08 2.818383e+09 3.884806e-06 7.153734e-08 2.633984e-08 4.533984e+00 4.164965e-05 2.250408e-06
1.096478e+08 3.162278e+09 3.852121e-06 6.990311e-08 2.633984e-08 4.586908e+00 4.244351e-05 2.316761e-06
1.096478e+08 3.548134e+09 3.810945e-06 6.822082e-08 2.633984e-08 4.651146e+00 4.344215e-05 2.422207e-06
1.096478e+08 3.981072e+09 3.759355e-06 6.647445e-08 2.633984e-08 4.729116e+00 4.467981e-05 2.589174e-06

1.096478e+08 4.466836e+09 3.694307e-06 6.939042e-08 2.633984e-08 4.817703e+00 4.613296e-05 2.842571e-06
1.148154e+08 1.000000e+07 4.061847e-06 1.015622e-07 2.672436e-08 4.451025e+00 3.970190e-05 2.151797e-06
1.148154e+08 1.584893e+07 4.063128e-06 1.012257e-07 2.672436e-08 4.459950e+00 3.979342e-05 2.156410e-06
1.148154e+08 2.511886e+07 4.065051e-06 1.007771e-07 2.672436e-08 4.490762e+00 4.009695e-05 2.172207e-06
1.148154e+08 3.981072e+07 4.067454e-06 1.001523e-07 2.672436e-08 4.525536e+00 4.044001e-05 2.190087e-06
1.148154e+08 6.309573e+07 4.069217e-06 9.931914e-08 2.672436e-08 4.541507e+00 4.059862e-05 2.198373e-06
1.148154e+08 1.000000e+08 4.070018e-06 9.819761e-08 2.672436e-08 4.546843e+00 4.065475e-05 2.201260e-06
1.148154e+08 1.122018e+08 4.070018e-06 9.787718e-08 2.672436e-08 4.547786e+00 4.066411e-05 2.201716e-06
1.148154e+08 1.258925e+08 4.070018e-06 9.752470e-08 2.672436e-08 4.548309e+00 4.067348e-05 2.202122e-06
1.148154e+08 1.412538e+08 4.070018e-06 9.714017e-08 2.672436e-08 4.548728e+00 4.067348e-05 2.202375e-06
1.148154e+08 1.584893e+08 4.070018e-06 9.672361e-08 2.672436e-08 4.549566e+00 4.068284e-05 2.202882e-06
1.148154e+08 1.778279e+08 4.069858e-06 9.629102e-08 2.672436e-08 4.549985e+00 4.069221e-05 2.203136e-06
1.148154e+08 1.995262e+08 4.069697e-06 9.582639e-08 2.672436e-08 4.550824e+00 4.070158e-05 2.203643e-06
1.148154e+08 2.238721e+08 4.069537e-06 9.532971e-08 2.672436e-08 4.551662e+00 4.071096e-05 2.204151e-06
1.148154e+08 2.511886e+08 4.069217e-06 9.480099e-08 2.672436e-08 4.552396e+00 4.072971e-05 2.204658e-06
1.148154e+08 2.818383e+08 4.069057e-06 9.424023e-08 2.672436e-08 4.553444e+00 4.073909e-05 2.205318e-06
1.148154e+08 3.162278e+08 4.068736e-06 9.363140e-08 2.672436e-08 4.554597e+00 4.075785e-05 2.206080e-06
1.148154e+08 3.548134e+08 4.068255e-06 9.299053e-08 2.672436e-08 4.555961e+00 4.077663e-05 2.206944e-06
1.148154e+08 3.981072e+08 4.067775e-06 9.230159e-08 2.672436e-08 4.557640e+00 4.079541e-05 2.208011e-06
1.148154e+08 4.466836e+08 4.067134e-06 9.158061e-08 2.672436e-08 4.559529e+00 4.082360e-05 2.209232e-06
1.148154e+08 5.011872e+08 4.066493e-06 9.081156e-08 2.672436e-08 4.562050e+00 4.086122e-05 2.210809e-06
1.148154e+08 5.623413e+08 4.065372e-06 8.999445e-08 2.672436e-08 4.564466e+00 4.088945e-05 2.212388e-06
1.148154e+08 6.309573e+08 4.064090e-06 8.912927e-08 2.672436e-08 4.567515e+00 4.093656e-05 2.214376e-06
1.148154e+08 7.079458e+08 4.062488e-06 8.821603e-08 2.672436e-08 4.571513e+00 4.099315e-05 2.216927e-06
1.148154e+08 7.943282e+08 4.060405e-06 8.725472e-08 2.672436e-08 4.576042e+00 4.105928e-05 2.219838e-06
1.148154e+08 8.912509e+08 4.057841e-06 8.622933e-08 2.672436e-08 4.581735e+00 4.113498e-05 2.223521e-06
1.148154e+08 1.000000e+09 4.054797e-06 8.515587e-08 2.672436e-08 4.588598e+00 4.123930e-05 2.227929e-06
1.148154e+08 1.122018e+09 4.050631e-06 8.401832e-08 2.672436e-08 4.596741e+00 4.135341e-05 2.233219e-06
1.148154e+08 1.258925e+09 4.045504e-06 8.283271e-08 2.672436e-08 4.607019e+00 4.149648e-05 2.239862e-06
1.148154e+08 1.412538e+09 4.039096e-06 8.158301e-08 2.672436e-08 4.619660e+00 4.168802e-05 2.248129e-06
1.148154e+08 1.584893e+09 4.031085e-06 8.026922e-08 2.672436e-08 4.635110e+00 4.190939e-05 2.258194e-06
1.148154e+08 1.778279e+09 4.020831e-06 7.890737e-08 2.672436e-08 4.654467e+00 4.219017e-05 2.270970e-06
1.148154e+08 1.995262e+09 4.008174e-06 7.748142e-08 2.672436e-08 4.678429e+00 4.254135e-05 2.287290e-06
1.148154e+08 2.238721e+09 3.991992e-06 7.600742e-08 2.672436e-08 4.707930e+00 4.297455e-05 2.308773e-06
1.148154e+08 2.511886e+09 3.971644e-06 7.446933e-08 2.672436e-08 4.744277e+00 4.351223e-05 2.338790e-06
1.148154e+08 2.818383e+09 3.946169e-06 7.286715e-08 2.672436e-08 4.789167e+00 4.418871e-05 2.383479e-06
1.148154e+08 3.162278e+09 3.913966e-06 7.120088e-08 2.672436e-08 4.844065e+00 4.502060e-05 2.452965e-06
1.148154e+08 3.548134e+09 3.873591e-06 6.950257e-08 2.672436e-08 4.910888e+00 4.605866e-05 2.563724e-06
1.148154e+08 3.981072e+09 3.822641e-06 6.774017e-08 2.672436e-08 4.991603e+00 4.734905e-05 2.739122e-06

1.148154e+08 4.466836e+09 3.758554e-06 7.062409e-08 2.672436e-08 5.083467e+00 4.886651e-05 3.005601e-06
1.202264e+08 1.000000e+07 4.131221e-06 1.031483e-07 2.714093e-08 4.750398e+00 4.262960e-05 2.304843e-06
1.202264e+08 1.584893e+07 4.131061e-06 1.028119e-07 2.714093e-08 4.768590e+00 4.280666e-05 2.314202e-06
1.202264e+08 2.511886e+07 4.130901e-06 1.023473e-07 2.714093e-08 4.782335e+00 4.294487e-05 2.321354e-06
1.202264e+08 3.981072e+07 4.130740e-06 1.017224e-07 2.714093e-08 4.793911e+00 4.306370e-05 2.327348e-06
1.202264e+08 6.309573e+07 4.130580e-06 1.008893e-07 2.714093e-08 4.801976e+00 4.314310e-05 2.331639e-06
1.202264e+08 1.000000e+08 4.130580e-06 9.976775e-08 2.714093e-08 4.807065e+00 4.319279e-05 2.334379e-06
1.202264e+08 1.122018e+08 4.130580e-06 9.943129e-08 2.714093e-08 4.807729e+00 4.320274e-05 2.334755e-06
1.202264e+08 1.258925e+08 4.130580e-06 9.907881e-08 2.714093e-08 4.808615e+00 4.321269e-05 2.335293e-06
1.202264e+08 1.412538e+08 4.130420e-06 9.869429e-08 2.714093e-08 4.809279e+00 4.322264e-05 2.335669e-06
1.202264e+08 1.584893e+08 4.130420e-06 9.827772e-08 2.714093e-08 4.809944e+00 4.323260e-05 2.336099e-06
1.202264e+08 1.778279e+08 4.130260e-06 9.784513e-08 2.714093e-08 4.810830e+00 4.324255e-05 2.336584e-06
1.202264e+08 1.995262e+08 4.130100e-06 9.738050e-08 2.714093e-08 4.811384e+00 4.325251e-05 2.337014e-06
