# Ground state spin evaluation table: spins2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==A==                      ==Z==                  ==Spin==                  ==Number=of=States==            ==Experimental==            ==Theoretical==
  178                        72                       0                              1                             s                             w  
  178                        73                       7                              15                            s                             w  
  178                        74                       0                              1                             s                             w  
  178                        75                       3                              7                             w                             w  
  178                        76                       0                              1                             s                             w  
  178                        77                       3                              7                             w                             s  
  178                        78                       0                              1                             s                             w  
  178                        80                       0                              1                             s                             w  
  178                        82                       0                              1                             s                             w  
  179                        68                       3/2                            4                             w                             s  
  179                        69                       1/2                            2                             w                             s  
  179                        70                       1/2                            2                             w                             w  
  179                        71                       7/2                            8                             s                             s  
  179                        72                       9/2                            10                            s                             s  
  179                        73                       7/2                            8                             s                             w  
  179                        74                       7/2                            8                             s                             w  
  179                        75                       5/2                            6                             s                             w  
  179                        76                       1/2                            2                             s                             w  
  179                        77                       5/2                            6                             w                             w  
  179                        78                       1/2                            2                             s                             w  
  179                        79                       1/2                            2                             s                             s  
  179                        80                       7/2                            8                             s                             s  
  179                        81                       1/2                            2                             s                             s  
  179                        82                       9/2                            10                            w                             w  
  180                        68                       0                              1                             s                             w  
  180                        70                       0                              1                             s                             w  
  180                        71                       5                              11                            s                             w  
  180                        72                       0                              1                             s                             w  
  180                        73                       1                              3                             s                             w  
  180                        74                       0                              1                             s                             w  
  180                        75                       1                              3                             w                             w  
  180                        76                       0                              1                             s                             w  
  180                        77                       5                              11                            w                             w  
  180                        78                       0                              1                             s                             w  
  180                        79                       1                              3                             w                             w  
  180                        80                       0                              1                             s                             w  
  180                        81                       4                              9                             w                             w  
  180                        82                       0                              1                             s                             w  
  181                        69                       1/2                            2                             w                             s  
  181                        70                       3/2                            4                             w                             s  
  181                        71                       7/2                            8                             w                             s  
  181                        72                       1/2                            2                             s                             w  
  181                        73                       7/2                            8                             s                             s  
  181                        74                       9/2                            10                            s                             w  
  181                        75                       5/2                            6                             s                             s  
  181                        76                       1/2                            2                             s                             w  
  181                        77                       5/2                            6                             s                             w  
  181                        78                       1/2                            2                             s                             s  
  181                        79                       5/2                            6                             w                             w  
  181                        80                       1/2                            2                             s                             s  
  181                        81                       1/2                            2                             s                             s  
  181                        82                       9/2                            10                            w                             w  
  182                        70                       0                              1                             s                             w  
  182                        71                       1                              3                             w                             s  
  182                        72                       0                              1                             s                             w  
  182                        73                       3                              7                             s                             w  
  182                        74                       0                              1                             s                             w  
  182                        75                       7                              15                            s                             s  
  182                        76                       0                              1                             s                             w  
  182                        77                       3                              7                             s                             w  
  182                        78                       0                              1                             s                             w  
  182                        79                       2                              5                             w                             w  
  182                        80                       0                              1                             s                             w  
  182                        81                       4                              9                             w                             w  
  182                        82                       0                              1                             s                             w  
  183                        70                       3/2                            4                             w                             s  
  183                        71                       7/2                            8                             w                             s  
  183                        72                       3/2                            4                             w                             w  
  183                        73                       7/2                            8                             s                             s  
  183                        74                       1/2                            2                             s                             s  
  183                        75                       5/2                            6                             s                             s  
  183                        76                       9/2                            10                            s                             s  
  183                        77                       5/2                            6                             s                             w  
  183                        78                       1/2                            2                             s                             s  
  183                        79                       5/2                            6                             s                             s  
  183                        80                       1/2                            2                             s                             s  
  183                        81                       1/2                            2                             s                             s  
  183                        82                       3/2                            4                             s                             s  
  184                        70                       0                              1                             s                             w  
  184                        71                       3                              7                             w                             w  
  184                        72                       0                              1                             s                             w  
  184                        73                       5                              11                            w                             w  
  184                        74                       0                              1                             s                             w  
  184                        75                       3                              7                             s                             w  
  184                        76                       0                              1                             s                             w  
  184                        77                       5                              11                            s                             w  
  184                        78                       0                              1                             s                             w  
  184                        79                       5                              11                            s                             s  
  184                        80                       0                              1                             s                             w  
  184                        81                       2                              5                             s                             s  
  184                        82                       0                              1                             s                             w  
  184                        83                       3                              7                             w                             s  
  185                        70                       9/2                            10                            w                             s  
  185                        71                       7/2                            8                             w                             s  
  185                        72                       9/2                            10                            w                             w  
  185                        73                       7/2                            8                             w                             w  
  185                        74                       3/2                            4                             s                             s  
  185                        75                       5/2                            6                             s                             s  
  185                        76                       1/2                            2                             s                             w  
  185                        77                       5/2                            6                             s                             s  
  185                        78                       9/2                            10                            s                             s  
  185                        79                       5/2                            6                             s                             s  
  185                        80                       1/2                            2                             s                             s  
  185                        81                       1/2                            2                             s                             s  
  185                        82                       3/2                            4                             s                             s  
  185                        83                       9/2                            10                            w                             s  
  186                        72                       0                              1                             s                             w  
  186                        73                       3                              7                             w                             s  
  186                        74                       0                              1                             s                             w  
  186                        75                       1                              3                             s                             s  
  186                        76                       0                              1                             s                             w  
  186                        77                       5                              11                            s                             s  
  186                        78                       0                              1                             s                             w  
  186                        79                       3                              7                             s                             s  
  186                        80                       0                              1                             s                             w  
  186                        81                       2                              5                             w                             w  
  186                        82                       0                              1                             s                             w  
  186                        83                       3                              7                             w                             w  
  186                        84                       0                              1                             s                             w  
  187                        71                       7/2                            8                             w                             s  
  187                        72                       9/2                            10                            w                             s  
  187                        73                       7/2                            8                             w                             w  
  187                        74                       3/2                            4                             s                             s  
  187                        75                       5/2                            6                             s                             s  
  187                        76                       1/2                            2                             s                             s  
  187                        77                       3/2                            4                             s                             s  
  187                        78                       3/2                            4                             s                             s  
  187                        79                       1/2                            2                             s                             s  
  187                        80                       3/2                            4                             s                             s  
  187                        81                       1/2                            2                             s                             w  
  187                        82                       3/2                            4                             s                             s  
  187                        83                       9/2                            10                            w                             w  
  188                        72                       0                              1                             s                             w  
  188                        73                       1                              3                             w                             w  
  188                        74                       0                              1                             s                             w  
  188                        75                       1                              3                             s                             s  
  188                        76                       0                              1                             s                             w  
  188                        77                       1                              3                             s                             s  
  188                        78                       0                              1                             s                             w  
  188                        79                       1                              3                             s                             s  
  188                        80                       0                              1                             s                             w  
  188                        81                       2                              5                             w                             s  
  188                        82                       0                              1                             s                             w  
  188                        83                       3                              7                             w                             w  
  188                        84                       0                              1                             s                             w  
  189                        72                       3/2                            4                             w                             s  
  189                        73                       7/2                            8                             w                             s  
  189                        74                       9/2                            10                            w                             s  
  189                        75                       5/2                            6                             s                             w  
  189                        76                       3/2                            4                             s                             s  
  189                        77                       3/2                            4                             s                             s  
  189                        78                       3/2                            4                             s                             s  
  189                        79                       1/2                            2                             s                             s  
  189                        80                       3/2                            4                             s                             s  
  189                        81                       1/2                            2                             s                             w  
  189                        82                       3/2                            4                             s                             s  
  189                        83                       9/2                            10                            s                             s  
  189                        84                       5/2                            6                             w                             w  
  190                        72                       0                              1                             s                             w  
  190                        73                       3                              7                             w                             w  
  190                        74                       0                              1                             s                             w  
  190                        75                       2                              5                             w                             w  
  190                        76                       0                              1                             s                             w  
  190                        77                       4                              9                             s                             w  
  190                        78                       0                              1                             s                             w  
  190                        79                       1                              3                             s                             s  
  190                        80                       0                              1                             s                             w  
  190                        81                       2                              5                             s                             s  
  190                        82                       0                              1                             s                             w  
  190                        83                       3                              7                             w                             w  
  190                        84                       0                              1                             s                             w  
  191                        73                       7/2                            8                             w                             s  
  191                        74                       3/2                            4                             w                             s  
  191                        75                       3/2                            4                             w                             w  
  191                        76                       9/2                            10                            s                             w  
  191                        77                       3/2                            4                             s                             s  
  191                        78                       3/2                            4                             s                             s  
  191                        79                       3/2                            4                             s                             s  
  191                        80                       3/2                            4                             s                             s  
  191                        81                       1/2                            2                             s                             s  
  191                        82                       3/2                            4                             s                             w  
  191                        83                       9/2                            10                            s                             s  
  191                        84                       3/2                            4                             s                             w  
  191                        85                       1/2                            2                             s                             w  
  192                        73                       2                              5                             w                             w  
  192                        74                       0                              1                             s                             w  
  192                        75                       0                              1                             w                             w  
  192                        76                       0                              1                             s                             w  
  192                        77                       4                              9                             s                             s  
  192                        78                       0                              1                             s                             w  
  192                        79                       1                              3                             s                             s  
  192                        80                       0                              1                             s                             w  
  192                        81                       2                              5                             s                             s  
  192                        82                       0                              1                             s                             w  
  192                        83                       3                              7                             w                             w  
  192                        84                       0                              1                             s                             w  
  192                        85                       3                              7                             w                             s  
  193                        73                       7/2                            8                             w                             s  
  193                        74                       1/2                            2                             w                             s  
  193                        75                       5/2                            6                             w                             s  
  193                        76                       3/2                            4                             s                             w  
  193                        77                       3/2                            4                             s                             s  
  193                        78                       1/2                            2                             s                             s  
  193                        79                       3/2                            4                             s                             s  
  193                        80                       3/2                            4                             s                             s  
  193                        81                       1/2                            2                             s                             s  
  193                        82                       3/2                            4                             w                             s  
  193                        83                       9/2                            10                            s                             s  
  193                        84                       3/2                            4                             s                             s  
  193                        85                       1/2                            2                             s                             w  
  193                        86                       3/2                            4                             w                             w  
  194                        74                       0                              1                             s                             w  
  194                        75                       1                              3                             w                             s  
  194                        76                       0                              1                             s                             w  
  194                        77                       1                              3                             s                             s  
  194                        78                       0                              1                             s                             w  
  194                        79                       1                              3                             s                             s  
  194                        80                       0                              1                             s                             w  
  194                        81                       2                              5                             s                             s  
  194                        82                       0                              1                             s                             w  
  194                        83                       3                              7                             s                             s  
  194                        84                       0                              1                             s                             w  
  194                        85                       5                              11                            w                             w  
  194                        86                       0                              1                             s                             w  
  195                        74                       3/2                            4                             w                             s  
  195                        75                       5/2                            6                             w                             s  
  195                        76                       3/2                            4                             w                             w  
  195                        77                       3/2                            4                             s                             w  
  195                        78                       1/2                            2                             s                             s  
  195                        79                       3/2                            4                             s                             s  
  195                        80                       1/2                            2                             s                             s  
  195                        81                       1/2                            2                             s                             s  
  195                        82                       3/2                            4                             s                             w  
  195                        83                       9/2                            10                            s                             s  
  195                        84                       3/2                            4                             s                             s  
  195                        85                       1/2                            2                             s                             s  
  195                        86                       3/2                            4                             s                             w  
  196                        74                       0                              1                             s                             w  
  196                        76                       0                              1                             s                             w  
  196                        78                       0                              1                             s                             w  
  196                        79                       2                              5                             s                             s  
  196                        80                       0                              1                             s                             w  
  196                        81                       2                              5                             s                             s  
  196                        82                       0                              1                             s                             w  
  196                        83                       3                              7                             w                             w  
  196                        84                       0                              1                             s                             w  
  196                        85                       3                              7                             w                             w  
  196                        86                       0                              1                             s                             w  
  197                        74                       5/2                            6                             w                             s  
  197                        75                       5/2                            6                             w                             s  
  197                        76                       5/2                            6                             w                             s  
  197                        77                       3/2                            4                             s                             w  
  197                        78                       1/2                            2                             s                             s  
  197                        79                       3/2                            4                             s                             s  
  197                        80                       1/2                            2                             s                             s  
  197                        81                       1/2                            2                             s                             s  
  197                        82                       3/2                            4                             s                             w  
  197                        83                       9/2                            10                            s                             s  
  197                        84                       3/2                            4                             w                             w  
  197                        85                       9/2                            10                            s                             s  
  197                        86                       3/2                            4                             s                             w  
  197                        87                       7/2                            8                             w                             w  
  198                        76                       0                              1                             s                             w  
  198                        77                       1                              3                             s                             w  
  198                        78                       0                              1                             s                             w  
  198                        79                       2                              5                             s                             s  
  198                        80                       0                              1                             s                             w  
  198                        81                       2                              5                             s                             s  
  198                        82                       0                              1                             s                             w  
  198                        83                       3                              7                             s                             s  
  198                        84                       0                              1                             s                             w  
  198                        85                       3                              7                             s                             s  
  198                        86                       0                              1                             s                             w  
  198                        87                       3                              7                             w                             s  
  199                        75                       5/2                            6                             w                             s  
  199                        76                       5/2                            6                             w                             s  
  199                        77                       3/2                            4                             w                             s  
  199                        78                       5/2                            6                             s                             s  
  199                        79                       3/2                            4                             s                             w  
  199                        80                       1/2                            2                             s                             s  
  199                        81                       1/2                            2                             s                             s  
  199                        82                       3/2                            4                             s                             w  
  199                        83                       9/2                            10                            s                             s  
  199                        84                       3/2                            4                             s                             s  
  199                        85                       9/2                            10                            s                             s  
  199                        86                       3/2                            4                             s                             w  
  199                        87                       1/2                            2                             w                             s  
  200                        76                       0                              1                             s                             w  
  200                        78                       0                              1                             s                             w  
  200                        79                       1                              3                             w                             w  
  200                        80                       0                              1                             s                             w  
  200                        81                       2                              5                             s                             s  
  200                        82                       0                              1                             s                             w  
  200                        83                       7                              15                            s                             s  
  200                        84                       0                              1                             s                             w  
  200                        85                       3                              7                             w                             w  
  200                        86                       0                              1                             s                             w  
  200                        87                       3                              7                             w                             w  
  201                        76                       1/2                            2                             w                             s  
  201                        77                       3/2                            4                             w                             w  
  201                        78                       5/2                            6                             w                             w  
  201                        79                       3/2                            4                             s                             w  
  201                        80                       3/2                            4                             s                             s  
