# Ground state spin evaluation table: nubase2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==Nuclide==                 ==Spin==                  ==Number=of=States
pt197                           1/2                            2  
au197                           3/2                            4  
hg197                           1/2                            2  
tl197                           1/2                            2  
pb197                           3/2                            4  
bi197                           9/2                            10 
po197                           3/2                            4  
at197                           9/2                            10 
rn197                           3/2                            4  
fr197                           7/2                            8  
os198                           0                              1  
ir198                           1                              3  
pt198                           0                              1  
au198                           2                              5  
hg198                           0                              1  
tl198                           2                              5  
pb198                           0                              1  
bi198                           3                              7  
po198                           0                              1  
at198                           3                              7  
rn198                           0                              1  
fr198                           3                              7  
re199                           5/2                            6  
os199                           5/2                            6  
ir199                           3/2                            4  
pt199                           5/2                            6  
au199                           3/2                            4  
hg199                           1/2                            2  
tl199                           1/2                            2  
pb199                           3/2                            4  
bi199                           9/2                            10 
po199                           3/2                            4  
at199                           9/2                            10 
rn199                           3/2                            4  
fr199                           1/2                            2  
os200                           0                              1  
ir200                           2    3                         5   7  
pt200                           0                              1  
au200                           1                              3  
hg200                           0                              1  
tl200                           2                              5  
pb200                           0                              1  
bi200                           7                              15 
po200                           0                              1  
at200                           3                              7  
rn200                           0                              1  
fr200                           3                              7  
os201                           1/2                            2  
ir201                           3/2                            4  
pt201                           5/2                            6  
au201                           3/2                            4  
hg201                           3/2                            4  
tl201                           1/2                            2  
pb201                           5/2                            6  
bi201                           9/2                            10 
po201                           3/2                            4  
at201                           9/2                            10 
rn201                           3/2                            4  
fr201                           9/2                            10 
ra201                           3/2                            4  
os202                           0                              1  
ir202                           2                              5  
pt202                           0                              1  
au202                           1                              3  
hg202                           0                              1  
tl202                           2                              5  
pb202                           0                              1  
bi202                           5                              11 
po202                           0                              1  
at202                           3                              7  
rn202                           0                              1  
fr202                           3                              7  
ra202                           0                              1  
os203                           9/2                            10 
ir203                           3/2                            4  
pt203                           1/2                            2  
au203                           3/2                            4  
hg203                           5/2                            6  
tl203                           1/2                            2  
pb203                           5/2                            6  
bi203                           9/2                            10 
po203                           5/2                            6  
at203                           9/2                            10 
rn203                           3/2                            4  
fr203                           9/2                            10 
ra203                           3/2                            4  
pt204                           0                              1  
au204                           2                              5  
hg204                           0                              1  
tl204                           2                              5  
pb204                           0                              1  
bi204                           6                              13 
po204                           0                              1  
at204                           7                              15 
rn204                           0                              1  
fr204                           3                              7  
ra204                           0                              1  
ir205                           3/2                            4  
pt205                           9/2                            10 
au205                           3/2                            4  
hg205                           1/2                            2  
tl205                           1/2                            2  
pb205                           5/2                            6  
bi205                           9/2                            10 
po205                           5/2                            6  
at205                           9/2                            10 
rn205                           5/2                            6  
fr205                           9/2                            10 
ra205                           3/2                            4  
ac205                           9/2                            10 
pt206                           0                              1  
au206                           6                              13 
hg206                           0                              1  
tl206                           0                              1  
pb206                           0                              1  
bi206                           6                              13 
po206                           0                              1  
at206                           6                              13 
rn206                           0                              1  
fr206                           3                              7  
ra206                           0                              1  
ac206                           3                              7  
pt207                           9/2                            10 
au207                           3/2                            4  
hg207                           9/2                            10 
tl207                           1/2                            2  
pb207                           1/2                            2  
bi207                           9/2                            10 
po207                           5/2                            6  
at207                           9/2                            10 
rn207                           5/2                            6  
fr207                           9/2                            10 
ra207                           5/2                            6  
ac207                           9/2                            10 
pt208                           0                              1  
au208                           6                              13 
hg208                           0                              1  
tl208                           5                              11 
pb208                           0                              1  
bi208                           5                              11 
po208                           0                              1  
at208                           6                              13 
rn208                           0                              1  
fr208                           7                              15 
ra208                           0                              1  
ac208                           3                              7  
th208                           0                              1  
au209                           3/2                            4  
hg209                           9/2                            10 
tl209                           1/2                            2  
pb209                           9/2                            10 
bi209                           9/2                            10 
po209                           1/2                            2  
at209                           9/2                            10 
rn209                           5/2                            6  
fr209                           9/2                            10 
ra209                           5/2                            6  
ac209                           9/2                            10 
th209                           5/2                            6  
au210                           6                              13 
hg210                           0                              1  
tl210                           5                              11 
pb210                           0                              1  
bi210                           1                              3  
po210                           0                              1  
at210                           5                              11 
rn210                           0                              1  
fr210                           6                              13 
ra210                           0                              1  
ac210                           7                              15 
th210                           0                              1  
hg211                           9/2                            10 
tl211                           1/2                            2  
pb211                           9/2                            10 
bi211                           9/2                            10 
po211                           9/2                            10 
at211                           9/2                            10 
rn211                           1/2                            2  
fr211                           9/2                            10 
ra211                           5/2                            6  
ac211                           9/2                            10 
th211                           5/2                            6  
pa211                           9/2                            10 
hg212                           0                              1  
tl212                           5                              11 
pb212                           0                              1  
bi212                           1                              3  
po212                           0                              1  
at212                           1                              3  
rn212                           0                              1  
fr212                           5                              11 
ra212                           0                              1  
ac212                           7                              15 
th212                           0                              1  
pa212                           3                              7  
hg213                           9/2                            10 
tl213                           1/2                            2  
pb213                           9/2                            10 
bi213                           9/2                            10 
po213                           9/2                            10 
at213                           9/2                            10 
rn213                           9/2                            10 
fr213                           9/2                            10 
ra213                           1/2                            2  
ac213                           9/2                            10 
th213                           5/2                            6  
pa213                           9/2                            10 
hg214                           0                              1  
tl214                           5                              11 
pb214                           0                              1  
bi214                           1                              3  
po214                           0                              1  
at214                           1                              3  
rn214                           0                              1  
fr214                           1                              3  
ra214                           0                              1  
ac214                           5                              11 
th214                           0                              1  
pa214                           7                              15 
hg215                           9/2                            10 
tl215                           1/2                            2  
pb215                           9/2                            10 
bi215                           9/2                            10 
po215                           9/2                            10 
at215                           9/2                            10 
rn215                           9/2                            10 
fr215                           9/2                            10 
ra215                           9/2                            10 
ac215                           9/2                            10 
th215                           1/2                            2  
pa215                           9/2                            10 
u215                            5/2                            6  
hg216                           0                              1  
tl216                           5                              11 
pb216                           0                              1  
bi216                           6    7                         13  15 
po216                           0                              1  
at216                           1                              3  
rn216                           0                              1  
fr216                           1                              3  
ra216                           0                              1  
ac216                           1                              3  
th216                           0                              1  
pa216                           5                              11 
u216                            0                              1  
tl217                           1/2                            2  
pb217                           9/2                            10 
bi217                           9/2                            10 
po217                           9/2                            10 
at217                           9/2                            10 
rn217                           9/2                            10 
fr217                           9/2                            10 
ra217                           9/2                            10 
ac217                           9/2                            10 
th217                           9/2                            10 
pa217                           9/2                            10 
u217                            1/2                            2  
tl218                           6                              13 
pb218                           0                              1  
bi218                           8                              17 
po218                           0                              1  
at218                           2    3                         5   7  
rn218                           0                              1  
fr218                           1                              3  
ra218                           0                              1  
ac218                           1                              3  
th218                           0                              1  
pa218                           8                              17 
u218                            0                              1  
pb219                           11/2                           12 
bi219                           9/2                            10 
po219                           9/2                            10 
at219                           9/2                            10 
rn219                           5/2                            6  
fr219                           9/2                            10 
ra219                           7/2                            8  
ac219                           9/2                            10 
th219                           9/2                            10 
pa219                           9/2                            10 
u219                            9/2                            10 
np219                           9/2                            10 
pb220                           0                              1  
bi220                           1                              3  
po220                           0                              1  
at220                           3                              7  
rn220                           0                              1  
fr220                           1                              3  
ra220                           0                              1  
ac220                           3                              7  
th220                           0                              1  
pa220                           1                              3  
u220                            0                              1  
np220                           1                              3  
bi221                           9/2                            10 
po221                           9/2                            10 
at221                           3/2                            4  
rn221                           7/2                            8  
fr221                           5/2                            6  
ra221                           5/2                            6  
ac221                           9/2                            10 
th221                           7/2                            8  
pa221                           9/2                            10 
u221                            9/2                            10 
np221                           9/2                            10 
pu221                           9/2                            10 
bi222                           1                              3  
po222                           0                              1  
rn222                           0                              1  
fr222                           2                              5  
ra222                           0                              1  
ac222                           1                              3  
th222                           0                              1  
pa222                           1                              3  
u222                            0                              1  
np222                           1                              3  
pu222                           0                              1  
bi223                           9/2                            10 
po223                           11/2                           12 
at223                           3/2                            4  
rn223                           7/2                            8  
fr223                           3/2                            4  
ra223                           3/2                            4  
ac223                           5/2                            6  
th223                           5/2                            6  
pa223                           9/2                            10 
u223                            7/2                            8  
np223                           9/2                            10 
pu223                           9/2                            10 
am223                           9/2                            10 
bi224                           1                              3  
po224                           0                              1  
at224                           2                              5  
rn224                           0                              1  
fr224                           1                              3  
ra224                           0                              1  
ac224                           0                              1  
th224                           0                              1  
pa224                           5                              11 
u224                            0                              1  
np224                           2                              5  
pu224                           0                              1  
po225                           3/2                            4  
at225                           1/2                            2  
rn225                           7/2                            8  
fr225                           3/2                            4  
ra225                           1/2                            2  
ac225                           3/2                            4  
th225                           3/2                            4  
pa225                           5/2                            6  
u225                            5/2                            6  
np225                           9/2                            10 
pu225                           7/2                            8  
am225                           9/2                            10 
po226                           0                              1  
at226                           2                              5  
rn226                           0                              1  
fr226                           1                              3  
ra226                           0                              1  
ac226                           1                              3  
th226                           0                              1  
pa226                           1                              3  
u226                            0                              1  
pu226                           0                              1  
po227                           5/2                            6  
at227                           1/2                            2  
rn227                           3/2                            4  
fr227                           1/2                            2  
ra227                           3/2                            4  
ac227                           3/2                            4  
th227                           1/2                            2  
pa227                           5/2                            6  
u227                            3/2                            4  
np227                           5/2                            6  
pu227                           5/2                            6  
am227                           9/2                            10 
at228                           3                              7  
rn228                           0                              1  
fr228                           2                              5  
ra228                           0                              1  
ac228                           3                              7  
th228                           0                              1  
pa228                           3                              7  
u228                            0                              1  
np228                           4                              9  
pu228                           0                              1  
at229                           1/2                            2  
rn229                           5/2                            6  
fr229                           1/2                            2  
ra229                           5/2                            6  
ac229                           3/2                            4  
th229                           5/2                            6  
pa229                           5/2                            6  
u229                            3/2                            4  
np229                           5/2                            6  
pu229                           3/2                            4  
am229                           5/2                            6  
rn230                           0                              1  
fr230                           2                              5  
ra230                           0                              1  
ac230                           1                              3  
th230                           0                              1  
pa230                           2                              5  
u230                            0                              1  
np230                           4                              9  
pu230                           0                              1  
am230                           1                              3  
rn231                           1/2                            2  
fr231                           1/2                            2  
ra231                           5/2                            6  
ac231                           1/2                            2  
th231                           5/2                            6  
pa231                           3/2                            4  
u231                            5/2                            6  
np231                           5/2                            6  
pu231                           3/2                            4  
am231                           5/2                            6  
cm231                           3/2                            4  
fr232                           5                              11 
ra232                           0                              1  
ac232                           1                              3  
th232                           0                              1  
pa232                           2                              5  
u232                            0                              1  
np232                           5                              11 
pu232                           0                              1  
am232                           1                              3  
cm232                           0                              1  
fr233                           1/2                            2  
ra233                           1/2                            2  
ac233                           1/2                            2  
th233                           1/2                            2  
pa233                           3/2                            4  
u233                            5/2                            6  
np233                           5/2                            6  
pu233                           5/2                            6  
am233                           5/2                            6  
cm233                           3/2                            4  
bk233                           3/2                            4  
ra234                           0                              1  
ac234                           1                              3  
th234                           0                              1  
pa234                           4                              9  
u234                            0                              1  
np234                           0                              1  
pu234                           0                              1  
am234                           0                              1  
cm234                           0                              1  
bk234                           3                              7  
ra235                           5/2                            6  
ac235                           1/2                            2  
th235                           1/2                            2  
pa235                           3/2                            4  
u235                            7/2                            8  
np235                           5/2                            6  
pu235                           5/2                            6  
am235                           5/2                            6  
cm235                           5/2                            6  
bk235                           3/2                            4  
ac236                           3                              7  
th236                           0                              1  
pa236                           1                              3  
u236                            0                              1  
np236                           6                              13 
pu236                           0                              1  
am236                           5                              11 
cm236                           0                              1  
bk236                           4                              9  
ac237                           1/2                            2  
th237                           5/2                            6  
pa237                           1/2                            2  
u237                            1/2                            2  
np237                           5/2                            6  
pu237                           7/2                            8  
am237                           5/2                            6  
cm237                           5/2                            6  
bk237                           3/2                            4  
cf237                           5/2                            6  
th238                           0                              1  
pa238                           3                              7  
u238                            0                              1  
np238                           2                              5  
pu238                           0                              1  
am238                           1                              3  
cm238                           0                              1  
bk238                           1                              3  
cf238                           0                              1  
th239                           7/2                            8  
pa239                           1/2                            2  
u239                            5/2                            6  
np239                           5/2                            6  
pu239                           1/2                            2  
am239                           5/2                            6  
cm239                           7/2                            8  
bk239                           7/2                            8  
cf239                           5/2                            6  
es239                           3/2                            4  
pa240                           3                              7  
u240                            0                              1  
np240                           5                              11 
pu240                           0                              1  
am240                           3                              7  
cm240                           0                              1  
bk240                           7                              15 
cf240                           0                              1  
es240                           4                              9  
pa241                           1/2                            2  
u241                            7/2                            8  
np241                           5/2                            6  
pu241                           5/2                            6  
am241                           5/2                            6  
cm241                           1/2                            2  
bk241                           7/2                            8  
cf241                           7/2                            8  
es241                           3/2                            4  
fm241                           5/2                            6  
u242                            0                              1  
np242                           1                              3  
pu242                           0                              1  
am242                           1                              3  
cm242                           0                              1  
bk242                           3                              7  
cf242                           0                              1  
es242                           2                              5  
fm242                           0                              1  
u243                            9/2                            10 
np243                           5/2                            6  
pu243                           7/2                            8  
am243                           5/2                            6  
cm243                           5/2                            6  
bk243                           3/2                            4  
cf243                           1/2                            2  
es243                           7/2                            8  
fm243                           7/2                            8  
np244                           7                              15 
pu244                           0                              1  
am244                           6                              13 
cm244                           0                              1  
bk244                           4                              9  
cf244                           0                              1  
es244                           6                              13 
fm244                           0                              1  
md244                           3                              7  
np245                           5/2                            6  
pu245                           9/2                            10 
am245                           5/2                            6  
cm245                           7/2                            8  
bk245                           3/2                            4  
cf245                           1/2                            2  
es245                           3/2                            4  
fm245                           1/2                            2  
md245                           7/2                            8  
pu246                           0                              1  
am246                           7                              15 
cm246                           0                              1  
bk246                           2                              5  
cf246                           0                              1  
es246                           4                              9  
fm246                           0                              1  
md246                           1                              3  
pu247                           1/2                            2  
am247                           5/2                            6  
cm247                           9/2                            10 
bk247                           3/2                            4  
cf247                           7/2                            8  
es247                           7/2                            8  
fm247                           7/2                            8  
md247                           7/2                            8  
am248                           3                              7  
cm248                           0                              1  
bk248                           6                              13 
cf248                           0                              1  
es248                           2                              5  
fm248                           0                              1  
no248                           0                              1  
am249                           5/2                            6  
cm249                           1/2                            2  
bk249                           7/2                            8  
cf249                           9/2                            10 
es249                           7/2                            8  
fm249                           7/2                            8  
md249                           7/2                            8  
no249                           5/2                            6  
cm250                           0                              1  
bk250                           2                              5  
cf250                           0                              1  
es250                           6                              13 
fm250                           0                              1  
md250                           2                              5  
no250                           0                              1  
cm251                           3/2                            4  
bk251                           3/2                            4  
cf251                           1/2                            2  
es251                           3/2                            4  
fm251                           9/2                            10 
md251                           7/2                            8  
no251                           7/2                            8  
cm252                           0                              1  
cf252                           0                              1  
es252                           4                              9  
fm252                           0                              1  
md252                           1                              3  
no252                           0                              1  
lr252                           7                              15 
bk253                           3/2                            4  
cf253                           7/2                            8  
es253                           7/2                            8  
fm253                           1/2                            2  
md253                           7/2                            8  
no253                           9/2                            10 
lr253                           7/2                            8  
rf253                           7/2                            8  
cf254                           0                              1  
es254                           7                              15 
fm254                           0                              1  
md254                           0                              1  
no254                           0                              1  
lr254                           4                              9  
rf254                           0                              1  
cf255                           7/2                            8  
es255                           7/2                            8  
fm255                           7/2                            8  
md255                           7/2                            8  
no255                           1/2                            2  
lr255                           1/2                            2  
rf255                           9/2                            10 
db255                           9/2                            10 
cf256                           0                              1  
es256                           7                              15 
fm256                           0                              1  
md256                           1                              3  
no256                           0                              1  
lr256                           0    3                         1   7  
rf256                           0                              1  
db256                           9                              19 
es257                           7/2                            8  
fm257                           9/2                            10 
md257                           7/2                            8  
no257                           3/2                            4  
lr257                           7/2                            8  
rf257                           1/2                            2  
db257                           9/2                            10 
fm258                           0                              1  
md258                           8                              17 
no258                           0                              1  
rf258                           0                              1  
db258                           0                              1  
sg258                           0                              1  
md259                           7/2                            8  
no259                           9/2                            10 
lr259                           1/2                            2  
rf259                           3/2                            4  
db259                           9/2                            10 
sg259                           11/2                           12 
fm260                           0                              1  
no260                           0                              1  
rf260                           0                              1  
sg260                           0                              1  
md261                           7/2                            8  
lr261                           1/2                            2  
rf261                           3/2                            4  
db261                           9/2                            10 
sg261                           3/2                            4  
bh261                           5/2                            6  
no262                           0                              1  
rf262                           0                              1  
sg262                           0                              1  
lr263                           1/2                            2  
db263                           9/2                            10 
sg263                           3/2                            4  
bh263                           5/2                            6  
hs263                           3/2                            4  
no264                           0                              1  
