!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.000000e+08 4.466836e+09 -7.607151e-08 3.066573e-08 3.563088e-06 2.606514e+00 1.694772e-05 3.560339e-06

1.047129e+08 1.000000e+07 -1.120565e-07 3.113036e-08 3.956263e-06 2.167455e+00 1.319141e-05 4.040651e-06
1.047129e+08 1.584893e+07 -1.117521e-07 3.113036e-08 3.954821e-06 2.167205e+00 1.318959e-05 4.040092e-06
1.047129e+08 2.511886e+07 -1.113355e-07 3.113036e-08 3.952418e-06 2.167255e+00 1.319050e-05 4.040279e-06
1.047129e+08 3.981072e+07 -1.107747e-07 3.113036e-08 3.949854e-06 2.168153e+00 1.319992e-05 4.042512e-06
1.047129e+08 6.309573e+07 -1.100057e-07 3.113036e-08 3.948092e-06 2.168802e+00 1.320722e-05 4.044188e-06
1.047129e+08 1.000000e+08 -1.089803e-07 3.113036e-08 3.947131e-06 2.169052e+00 1.321026e-05 4.043164e-06
1.047129e+08 1.122018e+08 -1.086759e-07 3.113036e-08 3.946970e-06 2.169452e+00 1.321391e-05 4.041860e-06
1.047129e+08 1.258925e+08 -1.083554e-07 3.113036e-08 3.946810e-06 2.170401e+00 1.322152e-05 4.039906e-06
1.047129e+08 1.412538e+08 -1.080030e-07 3.113036e-08 3.946810e-06 2.172101e+00 1.323553e-05 4.036652e-06
1.047129e+08 1.584893e+08 -1.076184e-07 3.113036e-08 3.946650e-06 2.174954e+00 1.325902e-05 4.031636e-06
1.047129e+08 1.778279e+08 -1.072179e-07 3.113036e-08 3.946650e-06 2.179415e+00 1.329509e-05 4.024402e-06
1.047129e+08 1.995262e+08 -1.067853e-07 3.113036e-08 3.946490e-06 2.185848e+00 1.334723e-05 4.014499e-06
1.047129e+08 2.238721e+08 -1.063207e-07 3.113036e-08 3.946330e-06 2.194522e+00 1.341749e-05 4.001394e-06
1.047129e+08 2.511886e+08 -1.058240e-07 3.113036e-08 3.946009e-06 2.205616e+00 1.350707e-05 3.984936e-06
1.047129e+08 2.818383e+08 -1.052953e-07 3.113036e-08 3.945849e-06 2.219167e+00 1.361668e-05 3.964983e-06
1.047129e+08 3.162278e+08 -1.047185e-07 3.113036e-08 3.945368e-06 2.235064e+00 1.374489e-05 3.941770e-06
1.047129e+08 3.548134e+08 -1.041257e-07 3.113036e-08 3.945048e-06 2.252994e+00 1.388965e-05 3.915807e-06
1.047129e+08 3.981072e+08 -1.034848e-07 3.113036e-08 3.944567e-06 2.272427e+00 1.404693e-05 3.887598e-06
1.047129e+08 4.466836e+08 -1.027959e-07 3.113036e-08 3.943926e-06 2.293031e+00 1.421351e-05 3.857814e-06
1.047129e+08 5.011872e+08 -1.020589e-07 3.113036e-08 3.942965e-06 2.314302e+00 1.438505e-05 3.827201e-06
1.047129e+08 5.623413e+08 -1.012898e-07 3.113036e-08 3.942004e-06 2.335608e+00 1.455732e-05 3.796307e-06
1.047129e+08 6.309573e+08 -1.004567e-07 3.113036e-08 3.940562e-06 2.356731e+00 1.472859e-05 3.765835e-06
1.047129e+08 7.079458e+08 -9.959151e-08 3.113036e-08 3.938960e-06 2.377169e+00 1.489434e-05 3.736210e-06
1.047129e+08 7.943282e+08 -9.866224e-08 3.113036e-08 3.936877e-06 2.396735e+00 1.505329e-05 3.707843e-06
1.047129e+08 8.912509e+08 -9.768491e-08 3.113036e-08 3.934153e-06 2.415294e+00 1.520482e-05 3.681047e-06
1.047129e+08 1.000000e+09 -9.664350e-08 3.113036e-08 3.930949e-06 2.432708e+00 1.534692e-05 3.655875e-06
1.047129e+08 1.122018e+09 -9.555402e-08 3.113036e-08 3.926783e-06 2.448838e+00 1.547966e-05 3.632715e-06
1.047129e+08 1.258925e+09 -9.440045e-08 3.113036e-08 3.921496e-06 2.463826e+00 1.560347e-05 3.611531e-06
1.047129e+08 1.412538e+09 -9.318279e-08 3.113036e-08 3.914927e-06 2.477593e+00 1.571887e-05 3.592372e-06
1.047129e+08 1.584893e+09 -9.190104e-08 3.113036e-08 3.906595e-06 2.490348e+00 1.582637e-05 3.575373e-06
1.047129e+08 1.778279e+09 -9.055521e-08 3.113036e-08 3.896021e-06 2.502073e+00 1.592727e-05 3.560503e-06
1.047129e+08 1.995262e+09 -8.916132e-08 3.113036e-08 3.882883e-06 2.512986e+00 1.602180e-05 3.547818e-06
1.047129e+08 2.238721e+09 -8.768731e-08 3.113036e-08 3.866221e-06 2.523248e+00 1.611429e-05 3.537458e-06
1.047129e+08 2.511886e+09 -8.614922e-08 3.113036e-08 3.845392e-06 2.533086e+00 1.620732e-05 3.529566e-06
1.047129e+08 2.818383e+09 -8.454704e-08 3.113036e-08 3.819116e-06 2.542904e+00 1.630089e-05 3.524206e-06
1.047129e+08 3.162278e+09 -8.288077e-08 3.113036e-08 3.785951e-06 2.553172e+00 1.640255e-05 3.521691e-06
1.047129e+08 3.548134e+09 -8.115042e-08 3.113036e-08 3.744134e-06 2.564484e+00 1.652005e-05 3.522421e-06
1.047129e+08 3.981072e+09 -7.935598e-08 3.113036e-08 3.691583e-06 2.577567e+00 1.665372e-05 3.526560e-06
1.047129e+08 4.466836e+09 -7.749745e-08 3.113036e-08 3.625733e-06 2.593284e+00 1.681943e-05 3.534527e-06

1.096478e+08 1.000000e+07 -1.138028e-07 3.159499e-08 4.006411e-06 2.156254e+00 1.308553e-05 4.014591e-06
1.096478e+08 1.584893e+07 -1.134984e-07 3.159499e-08 4.006411e-06 2.156751e+00 1.309065e-05 4.015793e-06
1.096478e+08 2.511886e+07 -1.130819e-07 3.159499e-08 4.006091e-06 2.156999e+00 1.309337e-05 4.016348e-06
1.096478e+08 3.981072e+07 -1.125051e-07 3.159499e-08 4.005931e-06 2.156801e+00 1.309276e-05 4.016070e-06
1.096478e+08 6.309573e+07 -1.117360e-07 3.159499e-08 4.005610e-06 2.156304e+00 1.308915e-05 4.015053e-06
1.096478e+08 1.000000e+08 -1.107106e-07 3.159499e-08 4.005450e-06 2.155957e+00 1.308734e-05 4.012743e-06
1.096478e+08 1.122018e+08 -1.103902e-07 3.159499e-08 4.005450e-06 2.156304e+00 1.309005e-05 4.011357e-06
1.096478e+08 1.258925e+08 -1.100698e-07 3.159499e-08 4.005290e-06 2.157148e+00 1.309729e-05 4.009233e-06
1.096478e+08 1.412538e+08 -1.097173e-07 3.159499e-08 4.005290e-06 2.158838e+00 1.311117e-05 4.005911e-06
1.096478e+08 1.584893e+08 -1.093328e-07 3.159499e-08 4.005130e-06 2.161723e+00 1.313443e-05 4.000933e-06
1.096478e+08 1.778279e+08 -1.089322e-07 3.159499e-08 4.005130e-06 2.166107e+00 1.317017e-05 3.993754e-06
1.096478e+08 1.995262e+08 -1.084836e-07 3.159499e-08 4.004969e-06 2.172551e+00 1.322182e-05 3.983926e-06
1.096478e+08 2.238721e+08 -1.080190e-07 3.159499e-08 4.004809e-06 2.181172e+00 1.329172e-05 3.970830e-06
1.096478e+08 2.511886e+08 -1.075223e-07 3.159499e-08 4.004649e-06 2.192250e+00 1.338078e-05 3.954406e-06
1.096478e+08 2.818383e+08 -1.069936e-07 3.159499e-08 4.004328e-06 2.205769e+00 1.348998e-05 3.934607e-06
