Label|Author|Title|Publisher|Year|
SM91|Scott, A.F.|Cross Sections and Thermonuclear Reaction rates for <sup>41</sup>K(&alpha;,n)<sup>44</sup>Sc and <sup>41</sup>K(&alpha;,p)<sup>44</sup>Ca|NPA 523, 373-385|1991
SM93|Scott, A.F.|The <sup>34</sup>S(&alpha;,&gamma;)<sup>38</sup>Ar, <sup>34</sup>S(&alpha;,n)<sup>37</sup>Ar,<sup>34</sup>S(&alpha;,p)<sup>37</sup>Cl cross sections|NPA 552, 363-377|1993
smmo|-|smmo|-|2000
smwa|-|smwa|-|-
sp12|Salter, P.J.C|Measurement of the 18Ne(&alpha;,p<sub>0&lt;\sub>)21Na Reaction Cross Section in the Burning Energy Region for X-Ray Bursts</sub>|PRL 108, 242701|2012
st08|E. Strandberg et al.|Mg24(a,g)Si28 resonance parameters at low alpha-particle energies|PRC 77, 055801|2008
st13|Straniero et al.|IMPACT OF A REVISED 25Mg(p,&gamma;)26Al REACTION RATE ON THE OPERATION OF THE Mg-Al CYCLE|ApJ 763 100|2013
sw12|Vermote, S.|Experimental determination of the 41Ca(n,&alpha;)38Ar reaction cross section up to 80 keV, and calculation of the Maxwellian averaged cross section at stellar temperatures|PRC85,015803|2012
ta04|X. Tang et al|Determination of the direct capture contribution for N13(p,&gamma;)O14 from the O14 -> N13+p asympto|PRC 69, 055807|2004
ta18|R. Talwar et al.|Experimental study of 38Ar+? reaction cross sections relevant to the 41Ca abundance in the solar system|PHYSICAL REVIEW C 97, 055801 (2018)|2018
tb18|R. Talwar et al.|Experimental study of 38Ar+? reaction cross sections relevant to the 41Ca abundance in the solar system|PHYSICAL REVIEW C 97, 055801 (2018)|2018
thra|T. Rauscher|NON-SMOKER Hauser-Feshbach w/ ETSFIQ Mass Input|ADNDT 75, 1, p1-351|2000
ths8|Cyburt, R.H. et al.|Theory rates from T. Rauscher as part of REACLIB V1.0 release|ApJS (189) 240|2010
ths8g|Cyburt, R. H. et al.|Theory rates from T. Rauscher as part of REACLIB V1.0 release|ApJS (189) 240|2010
to11|Togano, Y. et al|Resonance states in 27P using Coulomb dissociation and their effect on the stellar reaction 26Si(p,g)27P|PRC 84, 035808|2011
trc8|Cyburt, R.H. et al.|REFIT:  Theory rates from T. Rauscher as part of REACLIB V1.0 release	|ApJS (189) 240	|2014
tu19|E.M. Tursunov, et al,|Comparative study of the direct ?+d ? 6Li + ? astrophysical capture reaction in few-body models|Nucl. Phys. A, 1000 (2020) 121884|2020
ua08|Ugalde, C.|Thermonuclear rate for the <sup>19</sup>F(&alpha;,p)<sup>22</sup>Ne reaction at stellar temperatures|PRC 77, 035801|2008
ur98|Utku, S|Breakout from the hot CNO cycle: The 18F(p,&gamma;) vs 18F(p,&alpha;) branching ratio|PhRvC 57, 5, p2731|1998
vb94|Vouzoukas, S.|Reaction rate for S31(p,&gamma;)Cl32 and its influence on the SiP cycle in hot stellar hydrogen burning|PRC 50, 1185|1994
