!18F (1+, 3+, 5+) -> 18O    e-capture   with screening effects
!USDB ,   GT,    Q (18F-18O) = 1.6559 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.148154e+08 2.238721e+08 4.072261e-06 8.770333e-08 2.406474e-08 3.261144e-01 1.649557e-06 4.553143e-11
1.148154e+08 2.511886e+08 4.071940e-06 8.715859e-08 2.406474e-08 3.262196e-01 1.650427e-06 4.557339e-11
1.148154e+08 2.818383e+08 4.071780e-06 8.658181e-08 2.406474e-08 3.263623e-01 1.651552e-06 4.563639e-11
1.148154e+08 3.162278e+08 4.071460e-06 8.595696e-08 2.406474e-08 3.265126e-01 1.652819e-06 4.569949e-11
1.148154e+08 3.548134e+08 4.070979e-06 8.530006e-08 2.406474e-08 3.267007e-01 1.654308e-06 4.577320e-11
1.148154e+08 3.981072e+08 4.070499e-06 8.459510e-08 2.406474e-08 3.269189e-01 1.656103e-06 4.585760e-11
1.148154e+08 4.466836e+08 4.069858e-06 8.385810e-08 2.406474e-08 3.271674e-01 1.658152e-06 4.596331e-11
1.148154e+08 5.011872e+08 4.069057e-06 8.307303e-08 2.406474e-08 3.274915e-01 1.660769e-06 4.610110e-11
1.148154e+08 5.623413e+08 4.068095e-06 8.223990e-08 2.406474e-08 3.278234e-01 1.663632e-06 4.626060e-11
1.148154e+08 6.309573e+08 4.066653e-06 8.135870e-08 2.406474e-08 3.282389e-01 1.667137e-06 4.648484e-11
1.148154e+08 7.079458e+08 4.065211e-06 8.042944e-08 2.406474e-08 3.287683e-01 1.671569e-06 4.691496e-11
1.148154e+08 7.943282e+08 4.063128e-06 7.945211e-08 2.406474e-08 3.293821e-01 1.676781e-06 4.810734e-11
1.148154e+08 8.912509e+08 4.060565e-06 7.842671e-08 2.406474e-08 3.301338e-01 1.683226e-06 5.214484e-11
1.148154e+08 1.000000e+09 4.057361e-06 7.733723e-08 2.406474e-08 3.310473e-01 1.691112e-06 6.557092e-11
1.148154e+08 1.122018e+09 4.053355e-06 7.621570e-08 2.406474e-08 3.321238e-01 1.700573e-06 1.061723e-10
1.148154e+08 1.258925e+09 4.048228e-06 7.501407e-08 2.406474e-08 3.334341e-01 1.712160e-06 2.159789e-10
1.148154e+08 1.412538e+09 4.041819e-06 7.376437e-08 2.406474e-08 3.349346e-01 1.725911e-06 4.820713e-10
1.148154e+08 1.584893e+09 4.033809e-06 7.246660e-08 2.406474e-08 3.365348e-01 1.741575e-06 1.065642e-09
1.148154e+08 1.778279e+09 4.023555e-06 7.112077e-08 2.406474e-08 3.381115e-01 1.758791e-06 2.232088e-09
1.148154e+08 1.995262e+09 4.010737e-06 6.969483e-08 2.406474e-08 3.393751e-01 1.776337e-06 4.377350e-09
1.148154e+08 2.238721e+09 3.994715e-06 6.823685e-08 2.406474e-08 3.399069e-01 1.792307e-06 8.028073e-09
1.148154e+08 2.511886e+09 3.974368e-06 6.671478e-08 2.406474e-08 3.392657e-01 1.804734e-06 1.382010e-08
1.148154e+08 2.818383e+09 3.948893e-06 6.516066e-08 2.406474e-08 3.370544e-01 1.811842e-06 2.240842e-08
1.148154e+08 3.162278e+09 3.916689e-06 6.354246e-08 2.406474e-08 3.330964e-01 1.813023e-06 3.441211e-08
1.148154e+08 3.548134e+09 3.876154e-06 6.560927e-08 2.406474e-08 3.271448e-01 1.806385e-06 5.018932e-08
1.148154e+08 3.981072e+09 3.825365e-06 6.435957e-08 2.406474e-08 3.207155e-01 1.803115e-06 7.032525e-08

1.148154e+08 4.466836e+09 3.761278e-06 5.839946e-08 2.406474e-08 3.149851e-01 1.811400e-06 9.539186e-08
1.202264e+08 1.000000e+07 4.133945e-06 9.566617e-08 2.441722e-08 3.473921e-01 1.771729e-06 4.979793e-11
1.202264e+08 1.584893e+07 4.133785e-06 9.529767e-08 2.441722e-08 3.470004e-01 1.769515e-06 4.971773e-11
1.202264e+08 2.511886e+07 4.133624e-06 9.481701e-08 2.441722e-08 3.466570e-01 1.767609e-06 4.966052e-11
1.202264e+08 3.981072e+07 4.133464e-06 9.416012e-08 2.441722e-08 3.466490e-01 1.767711e-06 4.967196e-11
1.202264e+08 6.309573e+07 4.133304e-06 9.329494e-08 2.441722e-08 3.467848e-01 1.768733e-06 4.971773e-11
1.202264e+08 1.000000e+08 4.133304e-06 9.212535e-08 2.441722e-08 3.470164e-01 1.770416e-06 4.979793e-11
1.202264e+08 1.122018e+08 4.133304e-06 9.177287e-08 2.441722e-08 3.470564e-01 1.770762e-06 4.980940e-11
1.202264e+08 1.258925e+08 4.133304e-06 9.140437e-08 2.441722e-08 3.471443e-01 1.771366e-06 4.984382e-11
1.202264e+08 1.412538e+08 4.133144e-06 9.100382e-08 2.441722e-08 3.472082e-01 1.771876e-06 4.986678e-11
1.202264e+08 1.584893e+08 4.133144e-06 9.058726e-08 2.441722e-08 3.472802e-01 1.772488e-06 4.988975e-11
1.202264e+08 1.778279e+08 4.132984e-06 9.013865e-08 2.441722e-08 3.473762e-01 1.773223e-06 4.992422e-11
1.202264e+08 1.995262e+08 4.132823e-06 8.964197e-08 2.441722e-08 3.474641e-01 1.773925e-06 4.995872e-11
1.202264e+08 2.238721e+08 4.132823e-06 8.912927e-08 2.441722e-08 3.476002e-01 1.774983e-06 5.001627e-11
1.202264e+08 2.511886e+08 4.132503e-06 8.858453e-08 2.441722e-08 3.477123e-01 1.775907e-06 5.006236e-11
